"crossover","mutation","elitism","mutation_prob","crossover_prob","best_fitness","best_solution"
"partially_matched","swap_mutation",0.3,0.1,0.8,-8888.96711863868,"44|16|46|34|35|36|39|40|37|38|48|24|5|15|6|4|25|26|27|28|12|51|11|52|14|13|47|29|2|7|42|17|3|18|23|20|50|30|21|31|22|1|43|33|10|9|8|41|19|45|32|49"
"partially_matched","swap_mutation",0.3,0.1,0.9,-9774.26932837781,"35|34|44|16|50|20|1|22|18|31|21|42|2|7|17|3|39|37|48|46|29|30|23|49|32|45|19|41|8|9|10|43|15|6|4|25|26|28|12|33|51|11|27|13|52|14|47|24|5|38|40|36"
"partially_matched","swap_mutation",0.3,0.2,0.6,-10514.5097598163,"10|9|41|3|17|7|2|42|30|37|48|24|38|40|22|31|21|18|32|49|1|44|29|47|14|13|52|11|51|33|8|19|45|23|20|50|34|35|36|39|15|25|12|28|27|26|16|46|5|6|4|43"
"partially_matched","swap_mutation",0.3,0.2,0.8,-8852.35972305587,"6|4|25|12|51|11|52|14|13|47|26|27|28|46|16|29|50|20|30|23|21|31|18|3|17|7|2|42|44|34|35|37|48|24|38|40|45|19|41|8|9|10|33|43|32|22|1|49|36|39|5|15"
"partially_matched","swap_mutation",0.3,0.2,0.9,-9486.82809175969,"20|23|18|22|1|44|34|37|40|38|43|33|10|9|39|36|35|49|32|45|19|8|41|3|17|21|31|42|7|2|30|47|14|26|28|27|13|52|11|51|12|25|4|6|15|5|24|48|46|16|29|50"
"partially_matched","swap_mutation",0.3,0.3,0.6,-9429.6068973458,"8|41|3|17|18|31|22|34|48|24|5|6|25|12|28|27|26|47|13|14|52|11|51|46|16|44|37|38|40|39|36|35|49|1|23|20|50|29|30|2|7|42|21|32|43|33|4|15|45|19|10|9"
"partially_matched","swap_mutation",0.3,0.3,0.8,-10366.2064903212,"6|4|33|51|12|25|5|38|37|34|44|16|50|20|31|18|22|32|49|36|40|39|35|1|23|30|21|3|45|19|41|17|42|7|2|29|47|26|13|14|52|11|27|28|46|48|24|8|9|10|43|15"
"partially_matched","swap_mutation",0.3,0.3,0.9,-10067.852970484,"34|40|39|36|49|32|17|3|45|19|41|8|9|10|43|33|51|4|15|38|37|48|24|5|6|25|12|11|52|14|29|30|2|7|42|21|23|44|46|28|27|13|47|26|16|50|20|31|18|22|1|35"
"partially_matched","inverse_mutation",0.1,0.1,0.6,-8143.66511751211,"49|32|18|17|3|45|19|41|8|9|10|43|33|51|12|11|52|14|13|27|28|26|47|29|16|50|20|23|30|2|7|42|21|31|22|1|34|35|39|40|37|38|48|24|5|15|6|4|25|46|44|36"
"partially_matched","inverse_mutation",0.1,0.1,0.8,-8957.99298913268,"46|25|15|40|39|36|1|22|20|30|23|31|18|21|42|2|7|17|3|41|8|19|45|32|49|35|34|37|38|48|24|5|6|4|43|10|9|33|51|12|28|11|52|14|13|27|26|47|29|50|16|44"
"partially_matched","inverse_mutation",0.1,0.1,0.9,-9630.11021233706,"16|50|20|30|29|47|46|48|15|5|40|39|22|18|31|23|21|7|2|42|17|3|32|19|9|10|8|41|45|43|33|12|28|27|26|13|14|52|11|51|25|4|6|24|38|37|36|35|34|49|1|44"
"partially_matched","inverse_mutation",0.1,0.2,0.6,-8542.33533680541,"28|27|13|52|14|47|26|46|16|29|50|20|23|30|2|7|42|21|17|3|18|31|22|1|32|45|19|41|8|9|10|43|49|36|35|34|44|37|39|40|38|48|24|5|15|6|25|4|33|51|11|12"
"partially_matched","inverse_mutation",0.1,0.2,0.8,-10060.699547046,"38|4|12|51|33|43|10|9|41|8|45|19|1|22|31|30|23|50|20|29|47|28|27|13|11|52|14|26|25|46|24|5|15|6|48|40|39|49|32|3|17|42|7|2|21|18|44|16|34|35|36|37"
"partially_matched","inverse_mutation",0.1,0.2,0.9,-10889.4541146021,"15|4|25|46|44|35|1|22|20|30|23|49|32|41|10|9|8|19|36|39|34|29|42|2|7|21|18|45|3|17|31|50|16|47|14|52|13|51|11|26|27|28|12|33|43|40|37|48|24|38|5|6"
"partially_matched","inverse_mutation",0.1,0.3,0.6,-10479.1020381197,"9|10|33|43|45|19|48|24|35|5|40|37|50|20|29|16|44|39|15|25|12|27|28|26|47|14|52|13|11|51|4|6|46|34|38|36|49|31|18|21|3|32|22|1|23|30|42|2|7|17|41|8"
"partially_matched","inverse_mutation",0.1,0.3,0.8,-10197.1076160193,"15|5|48|46|6|38|37|40|39|49|45|19|41|43|33|10|9|8|24|44|34|36|35|32|1|18|3|22|31|23|50|16|29|21|17|2|42|7|30|20|47|26|27|13|14|52|11|51|28|12|25|4"
"partially_matched","inverse_mutation",0.1,0.3,0.9,-12811.2729715564,"49|39|23|31|32|19|45|41|10|9|8|3|36|37|28|26|51|43|48|33|11|52|47|14|13|27|12|25|46|15|4|24|38|6|22|21|18|17|2|7|42|29|30|20|16|50|5|40|34|44|35|1"
"partially_matched","inverse_mutation",0.2,0.1,0.6,-8653.21501198137,"38|24|48|5|15|6|4|33|43|45|19|8|10|9|41|3|17|21|42|7|2|30|29|47|14|52|13|27|26|28|11|51|12|25|46|37|34|44|16|50|20|23|31|18|22|1|32|49|35|36|39|40"
"partially_matched","inverse_mutation",0.2,0.1,0.8,-8335.51285176986,"47|29|30|42|2|7|17|21|31|18|3|41|8|9|10|19|45|32|49|1|22|23|20|50|16|44|34|35|36|39|40|38|37|46|25|4|6|48|24|5|15|43|33|51|11|52|14|13|27|12|28|26"
"partially_matched","inverse_mutation",0.2,0.1,0.9,-8600.55205921423,"41|8|9|10|33|43|4|48|24|5|15|6|25|28|12|51|11|52|14|13|27|26|47|46|38|37|40|39|36|35|34|16|29|30|42|7|2|23|20|50|44|49|32|1|22|18|31|21|17|3|45|19"
"partially_matched","inverse_mutation",0.2,0.2,0.6,-8299.62181362804,"45|10|9|8|41|19|18|3|17|21|42|7|2|30|23|20|50|29|16|46|44|39|40|5|15|6|4|43|33|51|11|52|13|14|47|26|27|28|12|25|48|24|38|37|34|35|36|49|32|1|22|31"
"partially_matched","inverse_mutation",0.2,0.2,0.8,-8321.89157110187,"25|4|6|15|5|24|48|38|40|39|32|18|22|1|49|36|35|34|37|46|44|16|29|50|20|30|42|2|7|17|21|23|31|3|45|19|41|8|9|10|43|33|51|12|11|52|14|13|47|26|27|28"
"partially_matched","inverse_mutation",0.2,0.2,0.9,-8348.14457175178,"36|39|40|38|15|5|6|24|46|16|50|20|29|30|42|2|7|17|21|23|31|22|1|49|32|18|3|45|19|41|8|9|10|33|43|4|12|51|11|52|13|14|47|26|27|28|25|48|37|44|34|35"
"partially_matched","inverse_mutation",0.2,0.3,0.6,-8621.23671467753,"1|22|18|17|3|41|10|9|8|19|45|32|49|39|37|40|38|24|48|6|5|15|12|28|26|47|27|13|14|52|11|51|33|43|4|25|46|16|29|20|30|2|7|42|21|31|23|50|44|34|35|36"
"partially_matched","inverse_mutation",0.2,0.3,0.8,-9647.89242434346,"34|44|16|46|38|6|15|5|4|25|12|51|43|45|19|32|18|3|41|8|9|10|33|11|28|52|14|13|27|26|47|29|50|23|20|30|7|2|42|17|21|31|22|1|49|35|36|40|48|24|37|39"
"partially_matched","inverse_mutation",0.2,0.3,0.9,-9018.95313989535,"1|49|36|35|44|37|6|4|25|12|51|11|28|27|13|52|14|47|26|46|16|29|50|20|23|31|22|18|21|30|42|7|2|17|3|41|8|9|10|33|43|15|24|48|5|38|40|39|34|45|19|32"
"partially_matched","inverse_mutation",0.3,0.1,0.6,-8058.09157984404,"37|40|39|34|35|36|49|1|22|32|45|19|10|9|8|41|3|17|18|31|21|42|7|2|30|23|20|50|29|16|44|46|25|4|12|28|27|26|47|13|14|52|11|51|33|43|15|6|5|24|48|38"
"partially_matched","inverse_mutation",0.3,0.1,0.8,-8104.40351207099,"12|28|27|26|47|13|14|52|11|51|33|43|38|37|40|39|34|35|36|49|32|45|19|8|10|9|41|3|18|22|1|31|21|17|7|2|42|30|23|20|50|29|16|44|46|48|24|5|15|6|4|25"
"partially_matched","inverse_mutation",0.3,0.1,0.9,-7905.5009023477,"49|32|22|1|44|16|29|50|20|30|2|7|42|21|23|31|18|17|3|45|19|41|8|9|10|43|33|51|11|52|14|13|47|26|27|28|12|25|4|6|15|5|24|48|46|37|38|40|39|34|35|36"
"partially_matched","inverse_mutation",0.3,0.2,0.6,-8228.35116482108,"32|22|1|49|36|35|34|44|46|37|39|40|38|48|24|15|5|6|4|25|12|51|11|52|14|13|27|28|26|47|29|16|50|20|23|31|21|30|42|2|7|17|3|18|45|19|41|8|9|10|33|43"
"partially_matched","inverse_mutation",0.3,0.2,0.8,-8494.14766474853,"1|35|34|44|50|20|23|21|17|7|2|42|30|29|16|46|28|27|26|47|14|13|52|11|51|12|25|4|33|43|15|6|5|24|48|38|40|37|39|36|49|32|45|19|8|10|9|41|3|18|31|22"
"partially_matched","inverse_mutation",0.3,0.2,0.9,-8212.3807595448,"37|38|40|34|35|36|39|43|33|10|9|8|41|19|45|3|17|7|2|42|30|23|21|31|18|22|1|32|49|44|16|50|20|29|47|26|28|27|13|14|52|11|51|12|25|4|6|15|5|24|48|46"
"partially_matched","inverse_mutation",0.3,0.3,0.6,-8937.41940069939,"32|1|22|31|18|17|3|19|41|10|9|8|45|43|33|4|25|6|5|15|46|26|27|28|12|51|11|52|13|14|47|29|30|2|7|42|21|23|50|20|16|44|37|24|48|38|40|39|35|36|34|49"
"partially_matched","inverse_mutation",0.3,0.3,0.8,-8607.36608030546,"5|38|40|37|24|48|46|16|29|50|20|23|30|7|2|42|21|31|17|41|8|9|10|19|45|3|18|22|32|49|1|44|34|36|35|39|43|33|12|51|11|52|14|13|47|26|27|28|25|4|6|15"
"partially_matched","inverse_mutation",0.3,0.3,0.9,-8943.92637756761,"38|40|15|5|6|25|4|43|33|51|11|52|14|13|27|47|26|28|12|46|44|36|37|35|34|1|22|39|49|32|45|9|10|8|41|19|3|17|18|31|21|42|2|7|30|29|23|20|50|16|24|48"
"partially_matched","insert_mutation",0.1,0.1,0.6,-8682.13738034577,"37|48|24|6|4|5|15|38|40|10|9|8|41|19|32|49|44|16|29|30|2|7|42|17|21|23|20|50|1|22|31|18|3|45|43|33|51|11|52|14|13|47|26|27|28|12|25|46|34|35|36|39"
"partially_matched","insert_mutation",0.1,0.1,0.8,-8751.79746163488,"40|39|34|35|36|49|22|31|18|3|17|21|42|7|2|30|23|1|32|43|33|10|9|8|41|19|45|6|4|25|51|11|52|14|13|27|12|28|26|47|29|20|50|16|44|46|48|24|5|15|38|37"
"partially_matched","insert_mutation",0.1,0.1,0.9,-9304.12265169714,"6|4|25|24|48|16|29|50|20|23|30|2|7|42|21|31|18|17|3|41|8|9|10|40|46|47|26|27|28|12|51|11|52|14|13|33|43|19|45|32|49|22|1|44|34|35|36|39|37|38|5|15"
"partially_matched","insert_mutation",0.1,0.2,0.6,-9621.20537183607,"36|1|22|23|20|50|16|29|30|42|7|2|21|31|18|32|49|35|34|46|44|17|3|19|45|39|40|38|15|33|10|9|8|41|43|51|11|12|28|27|13|52|14|47|26|25|4|6|5|24|48|37"
